product_id,product_name,brand,warehouse_location,current_stock_qty,reorder_level,projected_30d_demand,alert_status
P0001,iPhone 11 OLED Display Combo,Apple,Surat Main Warehouse,22,35,13.5,REORDER NOW - Below threshold
P0002,iPhone 11 LCD Display Combo,Apple,Ahmedabad Depot,90,50,9.5,Stock OK
P0003,iPhone 11 Charging Port Flex,Apple,Ahmedabad Depot,44,35,30.0,Stock OK
P0004,iPhone 11 Battery,Apple,Surat Main Warehouse,25,32,20.0,REORDER NOW - Below threshold
P0005,iPhone 11 Speaker Module,Apple,Surat Main Warehouse,56,44,26.5,Stock OK
P0006,iPhone 11 SIM Tray,Apple,Ahmedabad Depot,107,55,17.0,Stock OK
P0007,iPhone 12 Camera Module (Front),Apple,Ahmedabad Depot,28,26,26.5,Stock OK
P0008,iPhone 12 Microphone Flex,Apple,Surat Main Warehouse,76,46,10.0,Stock OK
P0009,iPhone 12 Charging Port Flex,Apple,Surat Main Warehouse,49,43,11.5,Stock OK
P0010,iPhone 12 LCD Display Combo,Apple,Ahmedabad Depot,97,55,8.0,Stock OK
P0011,iPhone 13 Back Glass Panel,Apple,Ahmedabad Depot,57,29,8.5,Stock OK
P0012,iPhone 13 Microphone Flex,Apple,Surat Main Warehouse,75,26,19.5,Stock OK
P0013,iPhone 13 Charging Port Flex,Apple,Surat Main Warehouse,50,36,29.5,Stock OK
P0014,iPhone 13 LCD Display Combo,Apple,Surat Main Warehouse,55,28,21.0,Stock OK
P0015,iPhone 13 Camera Module (Front),Apple,Ahmedabad Depot,58,38,14.5,Stock OK
P0016,iPhone 13 Pro Charging Port Flex,Apple,Ahmedabad Depot,85,40,11.5,Stock OK
P0017,iPhone 13 Pro OLED Display Combo,Apple,Surat Main Warehouse,20,23,19.0,REORDER NOW - Below threshold
P0018,iPhone 13 Pro Battery,Apple,Ahmedabad Depot,71,38,27.5,Stock OK
P0019,iPhone 13 Pro Power Button Flex,Apple,Surat Main Warehouse,74,52,19.0,Stock OK
P0020,iPhone 14 Microphone Flex,Apple,Surat Main Warehouse,82,56,19.0,Stock OK
P0021,iPhone 14 Power Button Flex,Apple,Surat Main Warehouse,85,56,25.5,Stock OK
P0022,iPhone 14 Touch Screen Digitizer,Apple,Ahmedabad Depot,72,45,18.0,Stock OK
P0023,iPhone 14 Speaker Module,Apple,Ahmedabad Depot,50,35,33.5,Stock OK
P0024,iPhone 14 Pro Battery,Apple,Ahmedabad Depot,46,28,40.0,Stock OK
P0025,iPhone 14 Pro LCD Display Combo,Apple,Ahmedabad Depot,97,44,20.5,Stock OK
P0026,iPhone 14 Pro Back Glass Panel,Apple,Surat Main Warehouse,87,45,33.5,Stock OK
P0027,iPhone 14 Pro Camera Module (Rear),Apple,Surat Main Warehouse,47,20,29.0,Stock OK
P0028,iPhone 15 Touch Screen Digitizer,Apple,Surat Main Warehouse,47,38,14.0,Stock OK
P0029,iPhone 15 Charging Port Flex,Apple,Surat Main Warehouse,61,53,26.5,Stock OK
P0030,iPhone 15 SIM Tray,Apple,Surat Main Warehouse,53,23,23.0,Stock OK
P0031,iPhone 15 Battery,Apple,Surat Main Warehouse,49,21,8.0,Stock OK
P0032,iPhone 15 Power Button Flex,Apple,Surat Main Warehouse,86,38,5.0,Stock OK
P0033,iPad 9th Gen Power Button Flex,Apple,Surat Main Warehouse,47,40,21.0,Stock OK
P0034,iPad 9th Gen Camera Module (Rear),Apple,Surat Main Warehouse,83,59,14.0,Stock OK
P0035,iPad 9th Gen Microphone Flex,Apple,Ahmedabad Depot,55,59,18.5,REORDER NOW - Below threshold
P0036,iPad 9th Gen OLED Display Combo,Apple,Surat Main Warehouse,23,21,23.5,REORDER SOON - Demand exceeds stock
P0037,Galaxy A12 Charging Port Flex,Samsung,Ahmedabad Depot,75,37,32.5,Stock OK
P0038,Galaxy A12 Power Button Flex,Samsung,Surat Main Warehouse,62,48,25.5,Stock OK
P0039,Galaxy A12 Back Glass Panel,Samsung,Ahmedabad Depot,72,40,23.0,Stock OK
P0040,Galaxy A12 OLED Display Combo,Samsung,Ahmedabad Depot,65,46,15.5,Stock OK
P0041,Galaxy A12 SIM Tray,Samsung,Ahmedabad Depot,49,29,14.5,Stock OK
P0042,Galaxy A12 Battery,Samsung,Ahmedabad Depot,25,32,16.0,REORDER NOW - Below threshold
P0043,Galaxy A32 Touch Screen Digitizer,Samsung,Ahmedabad Depot,40,26,27.0,Stock OK
P0044,Galaxy A32 Speaker Module,Samsung,Ahmedabad Depot,0,30,25.5,REORDER NOW - Below threshold
P0045,Galaxy A32 Power Button Flex,Samsung,Surat Main Warehouse,57,41,20.5,Stock OK
